标题,日期,版次,内容
人民日报创刊,1946-05-24,第2版,"专栏：

　　人民日报创刊
    集中三千万人民的心声，又指导三千万人民的行动，保卫和平民主，作旋转历史的轮轴。
                                              太行区党委敬贺"
解放区各地继续复员  边区上月一万三千人回乡生产,1946-05-19,第2版,"专栏：

　　解放区各地继续复员
    边区上月一万三千人回乡生产
    【新华社延安十六日电】解放区各地继续进行复员，晋冀鲁豫边区，除太岳分区外，四月内已复员一万三千人。晋察冀边区在冀中、冀东等地，已复员万人。复员人员回乡后，均从事生产。如察省张北城关复员军人魏锦章等十二人，在政府贷款下，与居民举办毛织厂，二月余已获利二十余万。"
张市筹设兴华实业公司  外区资本家踊跃投资,1946-05-15,第2版,"专栏：

　　张市筹设兴华实业公司
    外区资本家踊跃投资
    【新华社张家口九日电】晋察冀边区兴华实业公司，自筹备成立以来，解放区内外企业界人士及一般商民，均踊跃认股投资。该公司原定资本总额为二十五万万元，现已由各界分认达二十万万元，所属各厂、各公司亦募得股金一万万余元。连日来解放区以外各工商人士，投函向该公司询问经营性质与范围以及股东权限等问题者甚多，络绎抵此的许多资本家，于参观该公司所属各厂经营状况后，对民主政府扶助与奖励私营企业发展的政策，均极表赞同，有些资本家因款项未能即刻汇来，多向筹备处预认投资的额数。由平津来张的林明棋先生，一次即以现款入股六十余万元。该公司筹备处负责人顷语本社记者称：“根据各方踊跃入股状况估计，本月底当可完成原定的募集总额，并将超过。一俟股款募足，即尽先偿付原来政府的投资，将全部企业转为私营”。"
西姆拉会议已宣告失败,1946-05-18,第1版,"专栏：

　　西姆拉会议已宣告失败
    【新华社延安十四日电】新德里讯：西姆拉会议已宣告失败，十二日发表的公报称：由于“再事讨论已无济于事，故会议应告结束。”英印代表团将于日内返回新德里，并将会议的失败发表声明。路透社西姆拉电称：由于英内阁使团与印度领袖间会谈中断所引起的不安，西姆拉省当局已采取警戒措施，警察驻扎于许多地点，以防止暴动。"
日共主张改选议会  谴责多数议员曾与军部合作，从事侵略战争，将阻碍日本民主化。,1946-05-28,第1版,"专栏：

　　日共主张改选议会
    谴责多数议员曾与军部合作，从事侵略战争，将阻碍日本民主化。
    【新华社延安二十五日电】东京讯：日共于二十一日发表声明，痛斥“议会”，谴责议员中绝大多数是“曾与军部合作，从事侵略战争的反动分子”，指出有八十余名议员，按麦克阿瑟的清洗命令，应禁止任公职。该声明宣称：“尚有大的战犯盘踞国家机构要津，阻碍日本民主化。”该声明要求从新改选议会，严惩战犯，并向全世界发出警号，指出“今天日本的局势，正便利了反动派埋下搅乱未来太平洋和平的火种”，呼吁盟国密切注视日本形势。二十日，东京各大报纸均纷起指责新任众议会议长三木忠吉（自由党）和副议长木村（进步党）均系战犯。按三木战时曾任东京报知新闻社总裁，该报激烈支持战争。三木并曾任职战时内阁情报局及大政翼赞会兴亚部。各报并刊载日共领袖德田球一于出席新议会开幕典礼时的演说，揭发此次议会为“反动派贯彻反民主阴谋的场所，在他们之中有许多是经过伪装了的战犯”。各报透露德田演说后，反动议员们曾推派代表举行秘密会议，阴谋打击日共议员。对日本本届议会性质，苏联红星报指出：“这届议会中大多数议员，都反对在国内建立真正的民主，本届议会是阻碍日本进一步民主化的议会。”"
麦克鲁离沪返美,1946-05-30,第1版,"专栏：

　　麦克鲁离沪返美
    【新华社延安二十九日电】中央社沪讯：美驻华军事顾问团团长麦克鲁，今日离沪返美，继任美顾问团团长鲁克斯，定下月来华。"
简讯,1946-05-19,第1版,"专栏：简讯

　　简讯
    【新华社延安十六日电】据中央社南京讯：国家昨日公布，交通部长俞飞鹏及经济部长翁夕灏，辞职照准，特任俞大维为交通部长，王云五为经济部长。
    【新华社延安十六日电】中央社南京讯：国民党中常会于昨日通过彭沛任中宣部长。"
晋察冀边区  成立长芦盐务管理局,1946-05-16,第2版,"专栏：

　　晋察冀边区
    成立长芦盐务管理局
    【新华社张家口十二日电】晋察冀边区长芦盐务管理局，业已正式成立。边委会任命张道吾、高敬之为正副局长，此后所有属于长芦范围内之盐政等项，统归该局管理。"
邯郸中学选举模范学生,1946-05-30,第2版,"专栏：

　　邯郸中学选举模范学生
    【本市讯】邯郸中学于五月二十五日开会，选举各种模范学员，发挥他们在全校学习生产和工作上的带头作用。经过两周酝酿，全校同学都有了较清楚的认识，首先是选举学习模范，赵清泉、贾学谦、降日升三人当选，赵清泉的主要成绩是他发起组织“读书组”，周围经常有一群人跟着他，研究书报或讨论时事，最后读书组发展到八十多人，形成了全校性的读书运动。接着选举生产模范，郭蕴珊、贾学谦、郭长兴当选，郭蕴山的特点是对生产特别热心，有一次浇水被辘轳打破头，第二天还去干，他时常能团结许多同学去劳动。贾学谦不论在学习上、生产上，都能帮助同学，友爱精神强，同学们都愿意亲近他。最后选举服务模范冀，德润、岳岐峰、赵清泉当选，冀德润为大家服务任劳任怨，被大多数同学所拥护。"
纪念先烈勋功伟绩  邯郸长治建陵园  济宁烈士陵园可于年底落成,1946-05-16,第2版,"专栏：

　　纪念先烈勋功伟绩
    邯郸长治建陵园
    济宁烈士陵园可于年底落成
    【本市讯】为了永远纪念抗战烈士并教育来者，边区参议会二次大会，特决定在邯郸、长治各建烈士陵园一座，现由边府及一二九师组成一烈士陵园委员会，现在邯郸业已兴工，长治也已开工，决定园内要多培植花草树木，以蔚风景，借启游思。该委员会并于日前发出启事，希各地党政军民，机关团体或个人，竭力促成，将各地区之奇花异草、特别是松柏、果树之类以及可供游赏之金石雕刻等物，贡献于烈士陵园（捐赠特表欢迎，出售按价付现），俾使陵园能成为幽雅庄严之胜迹，以慰忠魂。
    又讯：冀鲁豫行署亦于上月底成立革命烈士陵园筹委会，行署特拔款一千万元，决定在济宁从事建筑，估计可于今年年底落成。"
边府、中央局的机关生产,1946-05-30,第2版,"专栏：

　　边府、中央局的机关生产
    李庄
    边区一级的机关搬到了邯郸。邯郸人于是看到了更多平凡而又新奇的事情。每当夕阳傍山的时候，一群群挂着“边区政府”证章和穿着蓝色制服的工作人员，荷锄担粪，从市内去到郊外去。黄昏，他们又迈着愉快而疲惫的步子赶回来。
    市民们对这件事感到分外的惊奇：“怎么他们还干这些事！”这些好心的人也许还不很清楚，八年的抗战就是在这样艰苦的打仗、工作与生产中熬过去的。抗日的军政人员为战胜日寇而流了大量的血汗。现在胜利了，可是由于敌伪八年压榨，老百姓依然十分困苦，政府于是决定了开展大生产运动，减轻人民负担的方针。边府每个工杂人员每天只发四元菜金。四元钱在现在只能买半斤豆芽或作熟一顿饭的煤炭。其他一切都要靠自己生产解决。
    在繁忙的工作中，这显然是个沉重的担子。但是决心为“人民服务”的人们勇敢的承受了它。边府除了整个的机关生产外，今年每人要生产交公两千七百元。中央局的生产计划指出了一个明确的方向，他们的生产总任务是×××万元，商业生产只占百分之十八。就是说，完成百分之八十二的生产任务要靠自己的劳力。
    计划在紧张的进行着。边府的机关土地已下种一百三十二亩，其中大部是棉花，他们给进行公共建筑的场所运土抬砖，先后赚了十多万元，已完成整个任务的十分之一，最积极的同志已经完成一千七百元。教育厅只有十八个人，自己种了四亩棉花两亩菜。每天只有两点多钟的劳作时间，驻地离农场又有一里多路。这样的条件耕种这样多的土地，显然很不容易。但据现在的估计，只是菜地收获就能完成私人生产任务。中央局种了一百一十亩地，还不断运砖、包工，女同志们纺棉花，再加上机关的运输、作坊，商业生产等项目，估计也能圆满的完成任务。
    来邯前和到邯郸以后，党政军首长们经常提醒自己的干部：防止浪费、警惕享乐思想。我简单的访问各机关的生产情况，大家依然保持着抗战中艰苦奋斗的光荣传统，尽管有搬家、缺乏土地、干部调动频繁等困难，但依靠着八年的锻炼和经验，生产是热烈的搞起来了。
    就以边府为例：在搬来邯郸以前，杨主席就向全体干部作了艰苦生产的动员。杨、戎主席同样有生产任务，他们和干部与杂务人员变工，并缴出全部稿费。一些总务人员事先到邯郸作准备。在没有找到土地之前，大家有计划的先给人家包工，找到土地之后，马上抓紧农时进行农业生产。他们建立了生产委员会，严密的分了工，有的专门接洽包工，有的负责准备农具种籽。委员会下的生产小组直接领导生产人员，大家都是有了生产锻炼且得到过生产利益的，经过首长的号召与组织领导，立刻就行动起来了。"
苏比诸国控告佛朗哥  安理会公布佛朗哥战罪证件,1946-05-24,第1版,"专栏：

　　苏比诸国控告佛朗哥
    安理会公布佛朗哥战罪证件
    【新华社延安二十一日电】纽约讯：安理会调查佛朗哥小组委员会，十七日向报界发表了苏比及西班牙共和政府向小组提出之证明文件，小组并称已发出请柬，约请西班牙共和政府总理吉拉尔（吉氏刻在墨西哥出席有关会议）。苏方之信件，包括佛朗哥在战时与轴心军事合作及蓝色师团活动的材料。比利时政府的信件指出，佛朗哥隐藏比国战犯德格列尔，其人由比政府判处死刑后，于一九四五年五月穿德国军服逃入西班牙。英国关于西班牙形势的照会，则由于标明“机密”未予发表。吉拉尔的备忘录提供证据，支持波兰的控诉称：与佛朗哥继续维持外交关系，外表上就是承认轴心国家对西内政之干涉是合法的，而与其断绝关系，并不会构成对西班牙内政之干涉，也并不就是侵犯西国主权。吉拉尔文件揭露说：佛朗哥的武装部队已由一九三六年十万人，增至目前八十四万人，其中二十五万人驻扎法国边境一带。并称：佛朗哥在技术上与原料上，均可制造原子弹。安理会新任主席法国代表希洛蒂宣称：法国认为佛朗哥确系威胁和平之因素，法国对佛朗哥军队驻留边境，甚感不安。又讯：美国关于佛朗哥材料，亦于十八日向小组提出，长达六十二页。
    【新华社延安二十日电】纽约讯：安理会主席埃及代表阿弗菲任期已满（按：安理会主席乃按月轮流，以各国国名第一字母排次），新主席法国代表希洛蒂，已于十七日继任，阿弗菲于十六日任满之日，发出呼吁，要求各国消除异见，并为永久和平而努力，阿氏对其任内安理会未能充分履行联合国国家所委托之新任务，颇感懊丧，惟渠深信各国间之争执、未有不能妥协解决者。安理会十七日开会时，一致通过美国所提之建议，即于两月后，再就阿尔巴尼亚申请加入联合国之事采取行动。"
吉田反动内阁组成  日报预测新阁命运不长,1946-05-30,第1版,"专栏：

　　吉田反动内阁组成
    日报预测新阁命运不长
    【新华社延安二十六日电】东京讯：吉田茂新阁，已于二十二日下午七时，正式成立全部阁员名单已由麦克阿瑟批准，新任自由党总裁吉田茂任首相外，尚兼任外务省大臣，陆军及海军复员省大臣和中央联络局（专司与麦克阿瑟总部联络之机构）局长等职。此外，内务省大臣大村清（原为币原内阁内务省次官）、大藏省（即财政部）大臣石桥湛山（自由党党员，东洋经济杂志社社长）、农林省大臣和田广雄（原为币原内阁之农林行政局长）、商工省大臣星岛二郎（自由党首脑之一）、递信省（即交通部）大臣平冢常次郎（自由党，接近三井财阁）、厚生相（社会福利部）大臣含良成（曾为币原内阁农林省次官）、司法大臣木村笃大郎（曾任检查长）、文部省大臣田中秀太郎（币原内阁文部省学校教育局长）、币原公然出任新阁的国务（不管部）大臣，另外二个国务大臣为进步党的松定吉一和自由党的植原悦二郎（过去政友会的元老，犬养毅的教友，著名的亲美人物）。本届复兴院总裁仍由三菱系财阀阿部美树志留任。
    综观新阁班子的图景，新阁乃是自由党领衔的反民主内阁，是币原内阁的延长，是以三菱系财阀豢养的政客占优势，与三井系政客合伙的财阀内阁，因而它是清一色的日本军国主义的，代表财阀利益的内阁。
    【新华社延安二十七日电】东京讯：日报纸预测吉田内阁前途黯淡，各大日报认为其成就将极有限，而内阁之命运亦不至久长。读卖、报知抨击吉田内阁，柔弱无力，事实上新阁并非一内阁。另据上海讯：上海无线电评论员唐金纳（译音）对日本新阁组成评称：“吉田新阁在极大难产中产生，乃是因老狐狸币原不愿放弃政权，币原拒绝推荐片山出任首相，因为如果片山当了首相，币原便得不到在吉田内阁中那样重要位置了。新内阁也将奉行币原所奉行的反动政策”。作者并称：“吉田曾帮助过日本军阀集团侵犯中国，因此他是一个侵犯者，而侵犯者就是我们的敌人”。"
李海衔命赴英  商谈太平洋基地问题,1946-05-25,第1版,"专栏：

　　李海衔命赴英
    商谈太平洋基地问题
    【新华社延安二十一日电】纽约讯：杜鲁门总统参谋长李海上将，近被派赴英，与英当局商讨美国占取英属太平洋岛屿基地问题。据美联社讯，李海抵英后，即于十八日发表乐观性谈话，认为与英国“某种完全的协议可能达到”。
    【新华社延安二十一日电】莫斯科今日广播纽约讯：美国与加拿大正在讨论签订关于保卫美洲本部的协定问题，并具体讨论了防卫北极的问题。"
本市物价表（五月廿日）,1946-05-21,第2版,"专栏：

　　白面                    一斤                    四三．○○小米                    一斤                    二七．○○玉米                    一斤                    二○．○○黄豆                    一斤                    二四．○○大米                    一斤                    五六．○○净棉                    一斤                  三○○．○○土布                    一尺                    五○．○○白洋布                  一匹              一四○○○．○○毛巾                    一条                  一八○．○○海盐                    一斤                    四二．○○火柴                    一包                  一五○．○○煮青                    一厘              一○四○○．○○猪肉                    一斤                  一二○．○○煤                      一斤                      三．六○"
国际公谊救护队贺斯金斯  致书杨主席致谢,1946-05-15,第2版,"专栏：

　　国际公谊救护队贺斯金斯
    致书杨主席致谢
    【新华社晋冀鲁豫总分社邯郸讯】国际公谊救护队所设安阳广生医院，院长贺斯金斯，于四月十七日致函边府杨主席，对于边府每月捐赠该院二吨煤炭表示谢意。该函略称：你慷慨给以煤的帮助，谨表谢意，希望我自己不久能有机会前来拜访，希望对边区医务上需要，能给以某种帮助。敝院为人民服务，竭力给病人以帮助。阁下捐助之煤，能使我们坚持医院义务之高度标准，可供病房及手术室消毒之用，保证此煤完全用之于医院。对最近旅行边区之同仁（按指国际公谊救护队主席司徒鸿等）深得阁下之合作，谨再致谢意。"
著名陶磁专家刘雨辰  主持改良彭城磁业  边府决定在该处设立磁厂,1946-05-28,第2版,"专栏：

　　著名陶磁专家刘雨辰
    主持改良彭城磁业           
    边府决定在该处设立磁厂
    【本报讯】磁县彭城镇，为华北重要产磁区，原有磁窑二百余家，其产品行销冀、豫、鲁、晋、鄂及东北各省，故俗有“千里彭城”之称，因该地所产原料不佳，且又墨守成法，从明朝直到如今，无多大改良，且均系粗磁不能与唐山、景德镇等地瓷货竞争，刻边府建设厅决在该处设立磁厂，由副厅长兼工业制造研究所长刘雨辰及副所长杨介人等亲自主持试验，研究改良办法：（一）研究该处所产陶土之品质，及土法制造情形。（二）素地（坯子）釉乐之调合与改良，现已派员赴太行左权、壶关、黎城、林县等地采取长石，以供试验。（三）试验“烧成”，以该处所有旧窑，“烧成”时均以火候不均，不仅耗煤较多，且损失甚大，亟需改进，以增加产量，减低成本，提高质量。
    按：刘雨辰氏现年六十二岁，为著名之陶磁专家，于光绪年间留学日本，毕业于高等工业学校（帝大前身），于民国元二年间，即任河北省工业试验所所长兼陶磁科长，及河北省立工学院化学系陶磁讲师，直至抗战爆发，始离职率领工人学生来我根据地参加抗战为人民服务，刘氏在职二十余年，对中国化学用磁及玻璃、耐火器材等之研究制造，均有重大成就，实为不可多得之专门人材。"
