,版次,日期,Segmented_Content
10,第2版,1946-05-24,人民日报 创刊 集中 三千万 人民 心声 指导 三千万 人民 行动 保卫和平 民主 作 旋转 历史 轮轴 太行 区党委 敬贺
11,第2版,1946-05-19,解放区 各地 继续 复员 边区 月 一万三千 回乡 生产 延安 十六日 解放区 各地 继续 进行 复员 晋冀鲁豫 边区 除太岳 分区 外 四月 内 复员 一万三千 晋察冀边区 冀中 冀东 地 复员 万人 复员 人员 回乡 均 从事 生产 如察省 张北 城关 复员军人 魏锦章 十二 政府 贷款 下 居民 举办 毛织厂 二月 余 获利 二十余万
12,第2版,1946-05-15,张市 筹设 兴华 实业公司 外 区 资本家 踊跃 投资 张家口 九日 晋察冀边区 兴华 实业公司 自 筹备 成立 以来 解放区 内外 企业界 人士 一般 商民 均 踊跃 认股 投资 该 公司 原定 资本 总额 二十五万 万元 现已 各界 分认 达 二十万 万元 所属 各厂 各 公司 亦 募得 股金 一万 万余元 连日来 解放区 以外 各 工商 人士 投函 该 公司 询问 经营性质 范围 以及 股东 权限 问题 者 甚多 络绎 抵此 许多 资本家 参观 该 公司 所属 各厂 经营 状况 对 民主 政府 扶助 奖励 私营企业 发展 政策 均 极表 赞同 有些 资本家 因 款项 未能 即刻 汇来 多向 筹备处 预认 投资 额数 平津 张 林明棋 先生 一次 即以 现款 入股 六十余万 元 该 公司 筹备处 负责人 顷语 本社 记者 称 根据 各方 踊跃 入股 状况 估计 本月底 当可 完成 原定 募集 总额 超过 一俟 股款 募足 尽先 偿付 原来 政府 投资 全部 企业 转为 私营
13,第1版,1946-05-18,西姆拉 会议 宣告 失败 延安 十四日 新德里 西姆拉 会议 宣告 失败 十二日 发表 公报 称 由于 再事 讨论 无济于事 故 会议 应告 结束 英印 代表团 日 内 返回 新德里 会议 失败 发表声明 路透社 西姆拉 电称 由于 英 内阁 使团 印度 领袖 间 会谈 中断 所 引起 不安 西姆拉 省 当局 采取 警戒 措施 警察 驻扎 许多 地点 防止 暴动
14,第1版,1946-05-28,日共 主张 改选 议会 谴责 多数 议员 曾 军部 合作 从事 侵略战争 阻碍 日本 民主化 延安 二十五日 东京 日共 二十一日 发表声明 痛斥 议会 谴责 议员 绝大多数 曾 军部 合作 从事 侵略战争 反动分子 指出 八 十余名 议员 按 麦克阿瑟 清洗 命令 应 禁止 任 公职 该 声明 宣称 尚有 大 战犯 盘踞 国家 机构 要津 阻碍 日本 民主化 该 声明 要求 从 新 改选 议会 严惩 战犯 全世界 发出 警号 指出 今天 日本 局势 正 便利 反动派 埋 下 搅乱 未来 太平洋 和平 火种 呼吁 盟国 密切 注视 日本 形势 二十日 东京 各大 报纸 均 纷起 指责 新任 众 议会 议长 三木 忠吉 自由党 副议长 木村 进步党 均系 战犯 按 三木 战时 曾任 东京 报知 新闻社 总裁 该报 激烈 支持 战争 三木 曾 任职 战时 内阁 情报局 大政 翼 赞会 兴亚部 各报 刊载 日共 领袖 德田球 一于 出席 新 议会 开幕典礼 时 演说 揭发 此次 议会 反动派 贯彻 反民主 阴谋 场所 之中 许多 经过 伪装 战犯 各报 透露 德田 演说 反动 议员 们 曾 推派 代表 举行 秘密会议 阴谋 打击 日共 议员 对 日本 本届 议会 性质 苏联 红星 报 指出 这届 议会 大多数 议员 反对 国内 建立 真正 民主 本届 议会 阻碍 日本 进一步 民主化 议会
15,第1版,1946-05-30,麦克 鲁离 沪 返美 延安 二十九日 中央社 沪 美 驻华 军事 顾问团 团长 麦克 鲁 今日 离 沪 返美 继任 美 顾问团 团长 鲁克斯 定下 月 来华
16,第1版,1946-05-19,简讯 简讯 延安 十六日 据 中央社 南京 国家 昨日 公布 交通部长 俞飞鹏 经济部长 翁夕 灏 辞职 照准 特任 俞大维 交通部长 王云五 经济部长 延安 十六日 中央社 南京 国民党 中常会 昨日 通过 彭沛任 中宣部 长
17,第2版,1946-05-16,晋察冀边区 成立 长芦 盐务 管理局 张家口 十二日 晋察冀边区 长芦 盐务 管理局 业已 正式 成立 边 委会 任命 张道 吾 高敬 正副 局长 此后 所有 属于 长芦 范围 内 盐政 项 统归 该局 管理
18,第2版,1946-05-30,邯郸 中学 选举 模范 学生 本市 邯郸 中学 五月 二十五日 开会 选举 各种 模范 学员 发挥 全校 学习 生产 工作 带头作用 经过 两周 酝酿 全校同学 较 清楚 认识 首先 选举 学习 模范 赵 清泉 贾学谦 降日 升三人 当选 赵 清泉 主要 成绩 发起 组织 读书 组 周围 经常 一群 跟着 研究 书报 或 讨论 时事 最后 读书 组 发展 八十多 形成 全校 性 读书 运动 接着 选举 生产 模范 郭蕴 珊 贾学谦 郭 长兴 当选 郭蕴山 特点 对 生产 特别 热心 一次 浇水 辘轳 打破 头 第二天 还 去 干 时常 能 团结 许多 同学 去 劳动 贾学谦 不论 学习 生产 能 帮助 同学 友爱 精神 强 同学 们 愿意 亲近 最后 选举 服务 模范 冀 德润 岳岐峰 赵 清泉 当选 冀德润 大家 服务 任劳任怨 大多数 同学 所 拥护
19,第2版,1946-05-16,纪念 先烈 勋功 伟绩 邯郸 长治 建 陵园 济宁 烈士陵园 可 年底 落成 本市 为了 永远 纪念 抗战 烈士 教育 来者 边区 参议会 二次 大会 特 决定 邯郸 长治 各建 烈士陵园 一座 现由 边府 一二九 师 组成 烈士陵园 委员会 现在 邯郸 业已 兴工 长治 开工 决定 园内 要 多 培植 花草树木 以蔚 风景 借启游思 该 委员会 日前 发出 启事 希 各地 党政军民 机关团体 或 个人 竭力 促成 各 地区 奇花异草 特别 松柏 果树 之类 以及 可 供 游赏 金石 雕刻 等物 贡献 烈士陵园 捐赠 特表 欢迎 出售 按价 付现 俾使 陵园 能 成为 幽雅 庄严 胜迹 以慰 忠魂 冀鲁豫 行署 亦 上月底 成立 革命 烈士陵园 筹委会 行署 特拔款 一千万元 决定 济宁 从事 建筑 估计 可 今年年底 落成
20,第2版,1946-05-30,边府 中央局 机关 生产 李庄 边区 一级 机关 搬到 邯郸 邯郸 于是 看到 更 多 平凡 新奇 事情 每当 夕阳 傍山 时候 一群群 挂 边区 政府 证章 穿着 蓝色 制服 工作人员 荷锄 担粪 从 市内 去 郊外 去 黄昏 迈着 愉快 疲惫 步子 赶回来 市民 们 对 这件 事 感到 分外 惊奇 怎么 还 干 这些 事 这些 好心 也许 还 很 清楚 八年 抗战 就是 这样 艰苦 打仗 工作 生产 熬过去 抗日 军政人员 战胜 日寇 而流 大量 血汗 现在 胜利 可是 由于 敌伪 八年 压榨 老百姓 依然 十分 困苦 政府 于是 决定 开展 大 生产 运动 减轻 人民 负担 方针 边府 每个 工杂 人员 每天 只发 四元 菜 金 四元 钱 现在 只能 买 半斤 豆芽 或 作熟 一顿饭 煤炭 其他 一切 要 靠 自己 生产 解决 繁忙 工作 这 显然 个 沉重 担子 但是 决心 人民 服务 人们 勇敢 承受 它 边府 除了 整个 机关 生产 外 今年 每人 要 生产 交公 两千 七百元 中央局 生产 计划 指出 一个 明确 方向 生产 总任务 万元 商业 生产 只 占 百分之十八 就是说 完成 百分之八十 二 生产 任务 要 靠 自己 劳力 计划 紧张 进行 边府 机关 土地 已下种 一百三十 二亩 其中 大部 棉花 给 进行 公共建筑 场所 运土 抬砖 先后 赚 十多万元 完成 整个 任务 十分之一 最 积极 同志 已经 完成 一千七百 元 教育厅 只有 十八个 自己 种 四亩 棉花 两亩 菜 每天 只有 两点 多钟 劳作 时间 驻地 离 农场 一里 多路 这样 条件 耕种 这样 多 土地 显然 很 容易 但据 现在 估计 只是 菜地 收获 能 完成 私人 生产 任务 中央局 种 一百一十 亩 地 还 不断 运砖 包工 女 同志 们 纺 棉花 再 加上 机关 运输 作坊 商业 生产 项目 估计 能 圆满 完成 任务 邯前 邯郸 以后 党政军 首长 们 经常 提醒 自己 干部 防止 浪费 警惕 享乐 思想 简单 访问 各 机关 生产 情况 大家 依然 保持 抗战 艰苦奋斗 光荣传统 尽管 搬家 缺乏 土地 干部 调动 频繁 困难 但 依靠 八年 锻炼 经验 生产 热烈 搞 起来 边府 为例 搬 邯郸 以前 杨 主席 全体 干部 作 艰苦 生产 动员 杨 戎 主席 同样 生产 任务 干部 杂务 人员 变工 缴出 全部 稿费 一些 总务人员 事先 邯郸 作 准备 没有 找到 土地 之前 大家 计划 先 给 人家 包工 找到 土地 之后 马上 抓紧 农时 进行 农业 生产 建立 生产 委员会 严密 分 工 专门 接洽 包工 负责 准备 农具 种籽 委员会 下 生产 小组 直接 领导 生产 人员 大家 生产 锻炼 且 得到 过 生产 利益 经过 首长 号召 组织 领导 立刻 行动 起来
21,第1版,1946-05-24,苏比 诸国 控告 佛朗哥 安理会 公布 佛朗哥 战罪 证件 延安 二十一日 纽约 安理会 调查 佛朗哥 小组 委员会 十七日 报界 发表 苏 比及 西班牙 共和 政府 小组 提出 证明文件 小组 并称 发出 请柬 约请 西班牙 共和 政府 总理 吉拉尔 吉氏刻 墨西哥 出席 有关 会议 苏方 信件 包括 佛朗哥 战时 轴心 军事 合作 蓝色 师团 活动 材料 比利时政府 信件 指出 佛朗哥 隐藏 比 国 战犯 德格 列尔 其人 比 政府 判处死刑 一九四五年 五月 穿 德国 军服 逃入 西班牙 英国 关于 西班牙 形势 照会 则 由于 标明 机密 未予 发表 吉拉尔 备忘录 提供 证据 支持 波兰 控诉 称 佛朗哥 继续 维持 外交关系 外表 就是 承认 轴心 国家 对西 内政 干涉 合法 与其 断绝关系 不会 构成 对 西班牙 内政 干涉 就是 侵犯 西国 主权 吉拉尔 文件 揭露 佛朗哥 武装部队 一九三六年 十万人 增至 目前 八十四 万人 其中 二十五万 驻扎 法国 边境 一带 并称 佛朗哥 在技术上 原料 均 可 制造 原子弹 安理会 新任 主席 法国 代表 希 洛蒂 宣称 法国 认为 佛朗哥 确系 威胁 和平 因素 法国 对 佛朗哥 军队 驻留 边境 甚感 不安 美国 关于 佛朗哥 材料 亦 十八日 小组 提出 长 达 六十二 页 延安 二十日 纽约 安理会 主席 埃及 代表 阿弗菲 任期 已满 按 安理会 主席 乃 按 月 轮流 各国 国名 第一 字母 排次 新 主席 法国 代表 希 洛蒂 十七日 继任 阿弗菲于 十六日 任满 日 发出 呼吁 要求 各国 消除 异见 永久 和平 努力 阿氏 对 其 任内 安理会 未能 充分 履行 联合国 国家 所 委托 之新 任务 颇感 懊丧 惟渠 深信 各国 间 争执 未有 不能 妥协 解决 者 安理会 十七日 开会 时 一致 通过 美国 所提 建议 即于 两 月 再 阿尔巴尼亚 申请加入 联合国 事 采取行动
22,第1版,1946-05-30,吉田 反动 内阁 组成 日报 预测 新阁 命运 长 延安 二十六日 东京 吉田茂 新阁 二十二日 下午 七 时 正式 成立 全部 阁员 名单 麦克阿瑟 批准 新任 自由党 总裁 吉田茂 任 首相 外 尚 兼任 外务省 大臣 陆军 海军 复员 省 大臣 中央 联络 局 专司 麦克阿瑟 总部 联络 机构 局长 职 此外 内务 省 大臣 大村 清 原 币原 内阁 内务 省 次官 大藏省 财政部 大臣 石桥 湛山 自由党 党员 东洋 经济 杂志社 社长 农林 省 大臣 和田 广雄 原 币原 内阁 农林 行政 局长 商工 省 大臣 星岛 二郎 自由党 首脑 之一 递信 省 交通部 大臣 平冢常 次郎 自由党 接近 三井 财阁 厚生 相 社会 福利部 大臣 含良成 曾 币原 内阁 农林 省 次官 司法 大臣 木村 笃大郎 曾任 检查 长 文部省 大臣 田中 秀 太郎 币原 内阁 文部省 学校 教育局长 币原 公然 出任 新阁 国务 不管部 大臣 另外 二个 国务 大臣 进步党 松定 吉一 自由党 植原悦 二郎 过去 政友会 元老 犬养毅 教友 著名 亲美 人物 本届 复兴 院 总裁 仍 三菱 系 财阀 阿部 美树志 留任 综观 新阁 班子 图景 新阁 乃是 自由党 领衔 反民主 内阁 币原 内阁 延长 三菱 系 财阀 豢养 政客 占优势 三井 系 政客 合伙 财阀 内阁 因而 它 清一色 日本 军国主义 代表 财阀 利益 内阁 延安 二十七日 东京 日 报纸 预测 吉田 内阁 前途 黯淡 各大 日报 认为 其 成就 极 有限 内阁 命运 亦 至 久长 读卖 报知 抨击 吉田 内阁 柔弱 无力 事实上 新阁 并非 内阁 另据 上海 上海 无线电 评论员 唐金纳 译音 对 日本 新阁 组成 评称 吉田新阁 极大 难产 产生 乃是 因 老狐狸 币原 不愿 放弃 政权 币原 拒绝 推荐 片山 出任 首相 因为 如果 片山 当 首相 币原 便 得不到 吉田 内阁 那样 重要 位置 新内阁 奉行 币原 所 奉行 反动 政策 作者 并称 吉田 曾 帮助 过 日本 军阀 集团 侵犯 中国 因此 一个 侵犯 者 侵犯 者 就是 敌人
23,第1版,1946-05-25,李海 衔命 赴英 商谈 太平洋 基地 问题 延安 二十一日 纽约 杜鲁门 总统 参谋长 李 海上 近 派 赴英 英 当局 商讨 美国 占取 英属 太平洋 岛屿 基地 问题 据 美联社 李海 抵英后 即于 十八日 发表 乐观 性 谈话 认为 英国 某种 完全 协议 可能 达到 延安 二十一日 莫斯科 今日 广播 纽约 美国 加拿大 正在 讨论 签订 关于 保卫 美洲 本部 协定 问题 具体 讨论 防卫 北极 问题
24,第2版,1946-05-21,白面 一斤 四三 小米 一斤 二七 玉米 一斤 二 黄豆 一斤 二四 大米 一斤 五六 净棉 一斤 三 土布 一尺 五 白洋 布 一匹 四 毛巾 一条 一八 海盐 一斤 四二 火柴 一包 一五 煮 青 一厘 四 猪肉 一斤 一二 煤 一斤 三 六
25,第2版,1946-05-15,国际 公谊 救护队 贺 斯金斯 致书 杨 主席 致谢 晋冀鲁豫 总 分社 邯郸 国际 公谊 救护队 所 设 安阳 广生 医院 院长 贺 斯金斯 四月 十七日 致函 边府 杨 主席 对于 边府 每月 捐赠 该院 二吨 煤炭 表示 谢意 该函 略称 你 慷慨 给 煤 帮助 谨表 谢意 希望 自己 不久 能 机会 前来 拜访 希望 对 边区 医务 需要 能 给 某种 帮助 敝院 人民 服务 竭力 给 病人 帮助 阁下 捐助 煤 能 使 坚持 医院 义务 高度 标准 可 供 病房 手术室 消毒 之用 保证 此煤 完全 用之于 医院 对 最近 旅行 边区 同仁 按指 国际 公谊 救护队 主席 司徒 鸿 深得 阁下 合作 谨 再 致谢 意
